order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,list_price,quantity,discount_percent,discounted_price,total_sales,total_cost,profit,order_year,order_month,order_Month_Year,first_purchase_date_x,customer_type,first_purchase_date_y,first_purchase_date
19,2022-01-23,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,OFF-AR-10003056,10,10,2,4,9.6,19.2,20,-0.8,2022,1,2022-01,2022-01-02,Returning,2022-01-02,2022-01-01
20,2022-01-11,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,TEC-PH-10001949,170,210,3,3,203.7,611.1,510,101.1,2022,1,2022-01,2022-01-02,Returning,2022-01-02,2022-01-01
21,2022-10-05,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10002215,20,20,4,2,19.6,78.4,80,-1.6,2022,10,2022-10,2022-01-02,Returning,2022-01-02,2022-01-01
22,2023-07-16,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,OFF-AR-10000246,20,20,7,4,19.2,134.4,140,-5.6,2023,7,2023-07,2022-04-03,Returning,2022-04-03,2022-01-02
23,2023-05-06,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,OFF-AP-10001492,50,60,7,3,58.2,407.4,350,57.4,2023,5,2023-05,2022-04-03,Returning,2022-04-03,2022-01-02
24,2023-05-21,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,60,70,2,4,67.2,134.4,120,14.4,2023,5,2023-05,2022-01-01,Returning,2022-01-01,2022-01-01
25,2023-02-24,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,900,1040,3,5,988,2964,2700,264,2023,2,2023-02,2022-02-06,Returning,2022-02-06,2022-01-01
26,2022-06-20,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10001634,10,10,2,5,9.5,19,20,-1,2022,6,2022-06,2022-01-01,Returning,2022-01-01,2022-01-01
27,2022-02-08,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10003027,80,90,3,3,87.3,261.9,240,21.9,2022,2,2022-02,2022-01-01,Returning,2022-01-01,2022-01-01
28,2023-12-11,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,2740,3080,7,3,2987.6,20913.2,19180,1733.2,2023,12,2023-12,2022-01-01,Returning,2022-01-01,2022-01-01
29,2022-08-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10000474,10,10,2,5,9.5,19,20,-1,2022,8,2022-08,2022-01-01,Returning,2022-01-01,2022-01-01
30,2022-08-14,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,100,120,3,4,115.2,345.6,300,45.6,2022,8,2022-08,2022-01-01,Returning,2022-01-01,2022-01-01
31,2022-11-20,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,OFF-EN-10001509,0,0,2,5,0,0,0,0,2022,11,2022-11,2022-01-01,Returning,2022-01-01,2022-01-01
32,2023-01-19,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10004042,70,90,6,4,86.4,518.4,420,98.4,2023,1,2023-01,2022-01-01,Returning,2022-01-01,2022-01-01
33,2023-01-30,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,10,10,6,5,9.5,57,60,-3,2023,1,2023-01,2022-01-01,Returning,2022-01-01,2022-01-01
34,2022-06-03,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,20,20,2,4,19.2,38.4,40,-1.6,2022,6,2022-06,2022-01-01,Returning,2022-01-01,2022-01-01
35,2022-09-28,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,30,30,3,3,29.1,87.3,90,-2.7,2022,9,2022-09,2022-01-05,Returning,2022-01-05,2022-01-02
36,2022-10-30,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,1020,1100,7,5,1045,7315,7140,175,2022,10,2022-10,2022-10-30,Returning,2022-10-30,2022-01-02
37,2023-07-27,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,180,190,5,4,182.4,912,900,12,2023,7,2023-07,2022-10-30,Returning,2022-10-30,2022-01-02
38,2023-03-07,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,90,110,9,2,107.8,970.2,810,160.2,2023,3,2023-03,2022-01-05,Returning,2022-01-05,2022-01-02
39,2023-08-18,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,460,530,3,2,519.4,1558.2,1380,178.2,2023,8,2023-08,2022-01-05,Returning,2022-01-05,2022-01-02
40,2022-01-20,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,200,210,3,2,205.8,617.4,600,17.4,2022,1,2022-01,2022-01-05,Returning,2022-01-05,2022-01-02
41,2023-06-29,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,350,370,4,5,351.5,1406,1400,6,2023,6,2023-06,2022-01-05,Returning,2022-01-05,2022-01-02
42,2022-06-28,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,140,150,4,3,145.5,582,560,22,2022,6,2022-06,2022-06-10,Returning,2022-06-10,2022-01-02
43,2023-02-09,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,70,80,2,5,76,152,140,12,2023,2,2023-02,2022-01-01,Returning,2022-01-01,2022-01-01
44,2023-09-18,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,90,100,2,4,96,192,180,12,2023,9,2023-09,2023-09-18,Returning,2023-09-18,2022-01-01
45,2022-11-11,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,40,50,2,2,49,98,80,18,2022,11,2022-11,2022-05-27,Returning,2022-05-27,2022-01-02
46,2022-05-27,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,20,20,2,5,19,38,40,-2,2022,5,2022-05,2022-05-27,Returning,2022-05-27,2022-01-02
47,2023-02-03,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,180,210,4,4,201.6,806.4,720,86.4,2023,2,2023-02,2022-01-19,Returning,2022-01-19,2022-01-02
48,2022-02-16,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,50,50,3,5,47.5,142.5,150,-7.5,2022,2,2022-02,2022-02-03,Returning,2022-02-03,2022-01-01
49,2022-05-06,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,20,20,2,4,19.2,38.4,40,-1.6,2022,5,2022-05,2022-02-03,Returning,2022-02-03,2022-01-01
50,2023-06-18,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,30,40,6,4,38.4,230.4,180,50.4,2023,6,2023-06,2022-01-11,Returning,2022-01-11,2022-01-02
51,2022-01-11,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70,80,6,4,76.8,460.8,420,40.8,2022,1,2022-01,2022-01-11,Returning,2022-01-11,2022-01-02
52,2023-09-09,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,10,10,2,4,9.6,19.2,20,-0.8,2023,9,2023-09,2022-01-11,Returning,2022-01-11,2022-01-02
53,2022-01-31,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,70,90,1,5,85.5,85.5,70,15.5,2022,1,2022-01,2022-01-11,Returning,2022-01-11,2022-01-02
54,2023-07-30,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,20,20,7,3,19.4,135.8,140,-4.2,2023,7,2023-07,2022-01-01,Returning,2022-01-01,2022-01-01
55,2023-10-17,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,850,1030,5,4,988.8,4944,4250,694,2023,10,2023-10,2022-01-01,Returning,2022-01-01,2022-01-01
56,2023-07-06,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,200,210,6,5,199.5,1197,1200,-3,2023,7,2023-07,2022-02-01,Returning,2022-02-01,2022-01-01
57,2023-09-15,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,30,30,5,5,28.5,142.5,150,-7.5,2023,9,2023-09,2022-02-01,Returning,2022-02-01,2022-01-01
58,2022-08-09,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,290,320,5,2,313.6,1568,1450,118,2022,8,2022-08,2022-02-01,Returning,2022-02-01,2022-01-01
59,2022-04-05,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,10,10,2,4,9.6,19.2,20,-0.8,2022,4,2022-04,2022-02-01,Returning,2022-02-01,2022-01-01
60,2023-06-24,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,20,30,2,5,28.5,57,40,17,2023,6,2023-06,2022-02-01,Returning,2022-02-01,2022-01-01
61,2022-03-10,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,40,50,4,2,49,196,160,36,2022,3,2022-03,2022-02-01,Returning,2022-02-01,2022-01-01
62,2023-04-08,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,0,0,1,5,0,0,0,0,2023,4,2023-04,2022-02-01,Returning,2022-02-01,2022-01-01
63,2023-10-16,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,10,10,2,3,9.7,19.4,20,-0.6,2023,10,2023-10,2022-01-01,Returning,2022-01-01,2022-01-01
64,2023-08-02,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,20,30,6,2,29.4,176.4,120,56.4,2023,8,2023-08,2022-01-01,Returning,2022-01-01,2022-01-01
65,2022-11-05,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,130,150,3,5,142.5,427.5,390,37.5,2022,11,2022-11,2022-01-01,Returning,2022-01-01,2022-01-01
66,2022-05-06,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,70,80,4,2,78.4,313.6,280,33.6,2022,5,2022-05,2022-01-01,Returning,2022-01-01,2022-01-01
67,2022-03-26,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,180,210,5,5,199.5,997.5,900,97.5,2022,3,2022-03,2022-01-02,Returning,2022-01-02,2022-01-02
68,2022-04-10,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,940,1110,8,3,1076.7,8613.6,7520,1093.6,2022,4,2022-04,2022-01-31,Returning,2022-01-31,2022-01-01
69,2022-08-12,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,160,170,4,3,164.9,659.6,640,19.6,2022,8,2022-08,2022-01-31,Returning,2022-01-31,2022-01-01
70,2022-02-25,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,70,80,2,2,78.4,156.8,140,16.8,2022,2,2022-02,2022-01-02,Returning,2022-01-02,2022-01-01
71,2022-11-29,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,0,0,1,3,0,0,0,0,2022,11,2022-11,2022-01-01,Returning,2022-01-01,2022-01-01
72,2022-12-18,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,20,20,3,3,19.4,58.2,60,-1.8,2022,12,2022-12,2022-01-05,Returning,2022-01-05,2022-01-02
73,2023-03-07,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,790,830,8,2,813.4,6507.2,6320,187.2,2023,3,2023-03,2022-03-25,Returning,2022-03-25,2022-01-01
74,2023-07-12,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,90,100,2,3,97,194,180,14,2023,7,2023-07,2022-03-25,Returning,2022-03-25,2022-01-01
75,2022-10-21,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,60,70,1,2,68.6,68.6,60,8.6,2022,10,2022-10,2022-03-25,Returning,2022-03-25,2022-01-01
76,2023-04-17,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,0,0,3,4,0,0,0,0,2023,4,2023-04,2022-01-05,Returning,2022-01-05,2022-01-02
77,2023-05-20,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,10,10,3,4,9.6,28.8,30,-1.2,2023,5,2023-05,2022-01-05,Returning,2022-01-05,2022-01-02
78,2023-05-13,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,20,30,3,2,29.4,88.2,60,28.2,2023,5,2023-05,2022-01-05,Returning,2022-01-05,2022-01-02
79,2022-10-20,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,20,20,5,2,19.6,98,100,-2,2022,10,2022-10,2022-01-05,Returning,2022-01-05,2022-01-02
80,2023-10-22,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,190,210,1,3,203.7,203.7,190,13.7,2023,10,2023-10,2022-01-16,Returning,2022-01-16,2022-01-01
81,2022-07-20,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,20,20,3,2,19.6,58.8,60,-1.2,2022,7,2022-07,2022-01-16,Returning,2022-01-16,2022-01-01
82,2022-11-16,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,10,10,5,5,9.5,47.5,50,-2.5,2022,11,2022-11,2022-01-02,Returning,2022-01-02,2022-01-01
83,2022-11-10,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,20,20,1,4,19.2,19.2,20,-0.8,2022,11,2022-11,2022-01-02,Returning,2022-01-02,2022-01-01
84,2022-03-15,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,180,200,7,3,194,1358,1260,98,2022,3,2022-03,2022-03-15,Returning,2022-03-15,2022-01-01
85,2023-10-03,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,210,230,3,2,225.4,676.2,630,46.2,2023,10,2023-10,2022-01-02,Returning,2022-01-02,2022-01-02
86,2022-03-20,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,260,300,2,5,285,570,520,50,2022,3,2022-03,2022-01-04,Returning,2022-01-04,2022-01-01
87,2023-12-04,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,20,20,1,5,19,19,20,-1,2023,12,2023-12,2022-01-09,Returning,2022-01-09,2022-01-02
88,2023-11-24,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,10,10,2,5,9.5,19,20,-1,2023,11,2023-11,2022-01-09,Returning,2022-01-09,2022-01-02
89,2023-12-30,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,140,160,7,5,152,1064,980,84,2023,12,2023-12,2022-01-05,Returning,2022-01-05,2022-01-02
90,2022-05-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,20,20,3,2,19.6,58.8,60,-1.2,2022,5,2022-05,2022-01-01,Returning,2022-01-01,2022-01-01
91,2023-04-06,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,60,70,2,2,68.6,137.2,120,17.2,2023,4,2023-04,2022-01-01,Returning,2022-01-01,2022-01-01
92,2022-03-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,10,10,1,2,9.8,9.8,10,-0.2,2022,3,2022-03,2022-01-01,Returning,2022-01-01,2022-01-01
93,2023-04-07,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,10,10,2,2,9.8,19.6,20,-0.4,2023,4,2023-04,2022-01-09,Returning,2022-01-09,2022-01-02
94,2022-05-13,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,50,50,3,5,47.5,142.5,150,-7.5,2022,5,2022-05,2022-01-09,Returning,2022-01-09,2022-01-02
95,2022-04-23,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,20,30,2,3,29.1,58.2,40,18.2,2022,4,2022-04,2022-01-09,Returning,2022-01-09,2022-01-02
96,2023-12-17,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,10,10,1,2,9.8,9.8,10,-0.2,2023,12,2023-12,2022-01-16,Returning,2022-01-16,2022-01-01
97,2022-04-28,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,80,100,7,5,95,665,560,105,2022,4,2022-04,2022-01-01,Returning,2022-01-01,2022-01-01
98,2023-06-14,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,40,50,3,4,48,144,120,24,2023,6,2023-06,2022-01-02,Returning,2022-01-02,2022-01-01
99,2023-02-05,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,70,80,6,3,77.6,465.6,420,45.6,2023,2,2023-02,2022-07-08,Returning,2022-07-08,2022-01-02
100,2023-12-30,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,60,60,7,3,58.2,407.4,420,-12.6,2023,12,2023-12,2022-01-02,Returning,2022-01-02,2022-01-02
101,2022-02-24,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,80,100,3,5,95,285,240,45,2022,2,2022-02,2022-01-02,Returning,2022-01-02,2022-01-02
102,2022-07-25,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,0,0,3,3,0,0,0,0,2022,7,2022-07,2022-01-02,Returning,2022-01-02,2022-01-02
103,2022-01-14,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,20,20,4,4,19.2,76.8,80,-3.2,2022,1,2022-01,2022-01-09,Returning,2022-01-09,2022-01-02
104,2022-12-22,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,220,240,6,3,232.8,1396.8,1320,76.8,2022,12,2022-12,2022-01-11,Returning,2022-01-11,2022-01-01
105,2022-06-09,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,90,100,3,5,95,285,270,15,2022,6,2022-06,2022-01-11,Returning,2022-01-11,2022-01-01
106,2023-10-28,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,30,40,3,5,38,114,90,24,2023,10,2023-10,2022-01-11,Returning,2022-01-11,2022-01-01
107,2022-10-18,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,60,70,8,5,66.5,532,480,52,2022,10,2022-10,2022-01-05,Returning,2022-01-05,2022-01-01
108,2022-11-23,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,30,30,1,3,29.1,29.1,30,-0.9,2022,11,2022-11,2022-01-05,Returning,2022-01-05,2022-01-01
109,2023-10-12,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,0,0,1,3,0,0,0,0,2023,10,2023-10,2022-01-05,Returning,2022-01-05,2022-01-01
110,2023-03-17,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,290,340,5,2,333.2,1666,1450,216,2023,3,2023-03,2023-03-17,Returning,2023-03-17,2022-01-02
111,2023-09-05,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,30,40,2,2,39.2,78.4,60,18.4,2023,9,2023-09,2022-01-01,Returning,2022-01-01,2022-01-01
112,2022-01-28,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,70,80,2,3,77.6,155.2,140,15.2,2022,1,2022-01,2022-01-28,Returning,2022-01-28,2022-01-02
113,2022-12-26,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,30,30,6,3,29.1,174.6,180,-5.4,2022,12,2022-12,2022-01-28,Returning,2022-01-28,2022-01-02
114,2023-06-06,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,40,40,14,2,39.2,548.8,560,-11.2,2023,6,2023-06,2022-01-03,Returning,2022-01-03,2022-01-01
115,2023-11-08,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,0,0,2,4,0,0,0,0,2023,11,2023-11,2022-01-03,Returning,2022-01-03,2022-01-01
116,2022-11-15,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,20,20,3,4,19.2,57.6,60,-2.4,2022,11,2022-11,2022-01-03,Returning,2022-01-03,2022-01-01
117,2022-06-30,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,120,130,6,5,123.5,741,720,21,2022,6,2022-06,2022-01-03,Returning,2022-01-03,2022-01-01
118,2023-10-27,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,720,790,3,4,758.4,2275.2,2160,115.2,2023,10,2023-10,2022-01-01,Returning,2022-01-01,2022-01-01
119,2023-07-19,,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,140,160,1,5,152,152,140,12,2023,7,2023-07,2022-01-19,Returning,2022-01-19,2022-01-01
